,pib,c,c_growth,pc,k,k_growth,pk,s,s_growth,ps,sp500_ret_real,TBill_ret_real
1987-01-01,83686.10771439204,14679.074391119455,0.0012583928597862393,54.321000000000005,3350.549221802344,-0.059242843740009654,124.904,37533.36872279435,0.01621625927398007,47.095,0.11690614903479601,-0.0037437243082673044
1987-04-01,84600.598486182,14790.797188535635,0.0076110246763085865,54.918,3488.195294005497,0.04108164455769714,125.882,37903.82835506942,0.009870140754247858,47.54,0.014087832026642655,0.0038898545135379603
1987-07-01,85322.71869759641,14802.33040529572,0.000779756264187359,55.441,3632.513822831137,0.0413734084997055,126.78299999999999,38241.382901176716,0.008905552836120156,48.015,0.10622238395022232,0.006035211925779604
1987-10-01,86826.7623704012,14820.05090700509,0.0011971426947090524,55.788000000000004,3534.5839323168293,-0.026959261627250264,127.29899999999999,38615.939341492565,0.009794531784684146,48.534,-0.28653350661194477,0.008831961575615388
1988-01-01,87285.32103778131,14979.756289308176,0.01077630456907519,55.968,3701.9995750607895,0.04736502115942787,127.07700000000001,39141.682440821474,0.013614665557649674,49.131,0.15010015158376522,0.012497531141911544
1988-04-01,88410.26165167622,15098.618457129714,0.007934853246335916,56.531000000000006,3703.3909579671467,0.00037584631714460137,127.781,39487.83183617693,0.008843498127061755,49.761,-0.010336701328182762,0.006702775150460694
1988-07-01,88902.19275364757,15202.660707426936,0.006890845714966121,57.278,3655.1817920445096,-0.013017574020621314,128.691,40080.38955114346,0.015006083834252504,50.417,-0.041859089736867916,0.005990499269869387
1988-10-01,90036.83508420877,15361.115443941837,0.010422829237877407,57.699,3749.890086157026,0.02591069322971795,129.64700000000002,40418.20533929201,0.00842845570943096,51.018,0.04701206093923638,0.011332054289652449
1989-01-01,91024.37775612334,15430.679273025698,0.004528566257946842,58.489,3733.200822691552,-0.004450600706160324,130.304,40694.80758429686,0.006843506352716577,51.633,0.04254680537407296,0.009962561805673564
1989-04-01,91703.91490474167,15454.498509103629,0.0015436284855954163,60.031000000000006,3783.022774327122,0.013345639305749835,130.41,40859.737522751224,0.004052849693728655,52.195,0.10225579696205989,0.00293456637595213
1989-07-01,92373.24834565978,15609.743085310347,0.010045267797934132,59.981,3868.6028629794264,0.022622144712709513,130.703,41128.538899430736,0.00657863689236482,52.7,0.09840624884227878,0.018853011926036833
1989-10-01,92582.38961290011,15787.484027282233,0.011386538586861894,60.25899999999999,3751.0676265137417,-0.03038183050279919,131.132,41516.612512442945,0.009435628480776836,53.243,-0.012876361533412428,0.014373488968532744
1990-01-01,93584.38640383727,15767.654532800285,-0.0012560262577419046,61.783,3909.564663313838,0.04225384679278732,131.829,41730.984817550765,0.005163530744315192,53.878,-0.06813282702320012,0.0004893900290574571
1990-04-01,93925.26987629029,15785.583236770954,0.0011370558590926283,62.136,3780.335553162118,-0.03305460358908163,131.842,42237.09053580921,0.012127816308940664,54.553000000000004,0.08730262567015146,0.014989953363935937
1990-07-01,93980.31373039186,15811.386778474827,0.001634627071856798,63.442,3742.001516300227,-0.010140379424738,131.9,42575.21242096491,0.008005330880190176,55.196999999999996,-0.12272896618233065,0.004015009987320406
1990-10-01,93106.7402663855,15652.45982238884,-0.010051424224366334,65.086,3638.934075828308,-0.027543398906428984,132.167,42473.716304679234,-0.0023839250708165283,55.757,-0.014732507610756618,-0.0010714566987973795
1991-01-01,92677.79484029484,15659.40428948628,0.00044366618258329105,64.763,3538.6202343621057,-0.027566820221487043,133.298,42442.33708983611,-0.0007387913649474775,56.258,0.14377007830080846,0.01536435665504543
1991-04-01,93412.950342283,15750.963465392322,0.005846913088993766,64.87,3556.367065021365,0.005015183739392803,133.63299999999998,42864.76855771944,0.009953068017653832,56.688,0.04541795541469762,0.01162364055461329
1991-07-01,93898.45972281063,15777.11038210969,0.0016600201489145316,64.929,3610.998449242515,0.01536157073280675,134.128,43050.25503074343,0.004327247743661999,57.248000000000005,0.008698116356113728,0.01134055473450779
1991-10-01,94237.61959203321,15641.218566590556,-0.008613225884077425,65.257,3552.0771336745624,-0.016317181077802112,134.416,43306.047912483555,0.005941727442902556,57.772,-0.03141601302469821,0.007024009054792835
1992-01-01,95337.36871282382,15873.764723879454,0.014867521753427315,65.37,3691.540807975597,0.03926256921024729,134.41,44014.88569909622,0.01636810147268908,58.31100000000001,0.08015506390391258,0.008438352450127917
1992-04-01,96375.73166917382,15940.604307785983,0.004210695135602016,65.695,3717.1698435192943,0.006942639097561987,134.77700000000002,44357.26315431332,0.007778674186676993,58.783,0.007485787666032806,0.00481387606868533
1992-07-01,97338.3682665797,16035.681900616612,0.00596449111933528,66.168,3796.4236996619416,0.02132102095921784,134.888,44826.67815276511,0.010582596063665184,59.202,-0.008014832841441888,0.0024916012516016384
1992-10-01,98338.21040081252,16196.654611211574,0.01003840757085439,66.36,3871.7088949585122,0.01983055666396627,135.099,45325.487243831034,0.011127505129111537,59.775,0.03283304886337901,0.005134255974079016
1993-01-01,98468.84008135671,16213.362781333572,0.0010315815532937478,66.558,3909.1461156779974,0.009669430666193302,135.03,45498.846989730744,0.0038247740165948674,60.277,0.024222166851542326,0.005506148392915744
1993-04-01,99047.75689514722,16342.610422433507,0.007971673911394639,66.472,4035.9063517555355,0.03242657918801095,135.74200000000002,45728.559697815734,0.005048758886941451,60.89,0.02585416228161841,0.006473209227688681
